0.1,SETSPEED,0.3,0,0,0
0.05,PUTENEMY,-0.5,1.5,Slime,1
0.15,PUTENEMY,1,0.5,Slime,1
0.22,PUTENEMY,0.25,-0.25,Slime,1
0.12,PUTENEMY,0,0.5,Slime,1
0.25,PUTENEMY,2,-0.1,Slime,1
2.5,PUTENEMY,0,4.5,Mukade,1
6.0,PUTENEMY,-2,5,BatWrap_L,0
6.2,PUTENEMY,-2,5,BatWrap_L,0
6.4,PUTENEMY,-2,5,BatWrap_L,0
7.0,PUTENEMY,0,6.25,Zombie,1
7.2,PUTENEMY,-1.25,6.25,Zombie,1
8.1,PUTENEMY,-0.25,6.5,Zombie,1
9.3,PUTENEMY,-1.75,6.5,Zombie,1
9.6,PUTENEMY,-1.25,8.25,Zombie,1
9.6,PUTENEMY,2.5,10.5,Zombie,1
10.6,PUTENEMY,-0.75,10.5,Zombie,1
10.6,PUTENEMY,-1.0,10.5,Slime,1
10.0,PUTENEMY,-0.5,9,BatWrap_L,0
10.2,PUTENEMY,-0.5,9,BatWrap_L,0
10.4,PUTENEMY,-0.5,9,BatWrap_L,0
12,PUTENEMY,-1.5,7.5,Mukade,1
16.3,PUTENEMY,-1.75,10.5,BatWrap_L,0
16.6,PUTENEMY,-1.75,10.5,BatWrap_L,0
16.8,PUTENEMY,-1.75,10.5,BatWrap_L,0
17.0,PUTENEMY,-1.75,10.5,BatWrap_L,0
24.5,PUTENEMY,-2.1,11.5,Plant,1
24.5,PUTENEMY,2.1,11.5,Plant,1
32.5,PUTENEMY,0,12,Mukade,1
